id;libelle;date_jour;description;code_evenement;code_type_evenement
1;till scholarship athwart;2024-03-20T03:00:06;phew;25336;9758
2;although easily;2024-03-20T16:52:50;sheer junk ack;16111;32279
3;consequently tamper ick;2024-03-20T14:55:37;circa kissingly happily;8219;27945
4;yowza instead;2024-03-20T02:47:50;what klutzy trade;14983;23411
5;long midst;2024-03-20T18:05:32;where pitch;1215;11839
6;inside dimly;2024-03-20T10:02:46;cower pantsuit but;29373;9963
7;onto seriously ponder;2024-03-20T22:02:55;loosely willing;12665;6066
8;unfortunately whose;2024-03-20T01:42:09;crossly;7484;8690
9;insidious;2024-03-20T08:36:59;captain;25774;4919
10;indeed pish;2024-03-20T08:38:29;truly stonework bustling;13260;8883
